pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
"HD 180902",b,"HD 180902 b","Radial Velocity",0,1,510.9,1.5,-1.5,0,3,1.4,0.11,-0.11,0,3,0.107,0.022,-0.022,0,3,,,,,0,1.685,0.041,-0.041,0,3,Msini,,,,,0,,,,,0,0,0,0,19h19m17.71s,-23d33m29.4s,289.823792,2.0E-6,-23.558155,2.0E-6,2,104.89,0.57,-0.57,0,2,7.78,,0,"V (Johnson)",7.521,,0,4961,,,0,6,1.41,,,0,5,4.16,,,0,5,0,2018-12-06,"W. M. Keck Observatory"
"HD 181342",b,"HD 181342 b","Radial Velocity",0,1,564.1,4.1,-4.1,0,4,1.592,0.091,-0.091,0,4,0.022,0.051,-0.051,0,4,,,,,0,2.54,0.19,-0.19,0,4,Msini,,,,,0,,,,,0,0,0,0,19h21m04.23s,-23d37m10.5s,290.267639,2.0E-6,-23.619572,1.0E-6,3,120.81,0.69,-0.69,0,4,7.55,,0,"V (Johnson)",7.284,,0,4945,,,0,7,1.69,,,0,6,4.71,,,0,6,0,2018-12-06,"W. M. Keck Observatory"
"HD 181433",b,"HD 181433 b","Radial Velocity",0,3,9.3743,0.0019,-0.0019,0,3,0.08,0,0,0,3,0.4,0.06,-0.06,0,3,,,,,0,0.02,0,0,0,3,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2.0E-6,-66.468796,2.0E-6,3,26.9,0.02,-0.02,0,5,8.4,,0,"V (Johnson)",8.092,,0,4918,15,-15,0,6,0.63,0.07,-0.07,0,5,0.79,0.01,-0.01,0,4,0,2018-09-06,"La Silla Observatory"
"HD 181433",c,"HD 181433 c","Radial Velocity",0,3,962,15,-15,0,2,1.76,,,0,2,0.28,0.02,-0.02,0,2,,,,,0,0.64,,,0,2,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2.0E-6,-66.468796,2.0E-6,3,26.9,0.02,-0.02,0,5,8.4,,0,"V (Johnson)",8.092,,0,4918,15,-15,0,6,0.63,0.07,-0.07,0,5,0.79,0.01,-0.01,0,4,0,2014-07-23,"La Silla Observatory"
"HD 181433",d,"HD 181433 d","Radial Velocity",0,3,2172,158,-158,0,2,3,,,0,2,0.48,0.05,-0.05,0,2,,,,,0,0.54,,,0,2,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2.0E-6,-66.468796,2.0E-6,3,26.9,0.02,-0.02,0,5,8.4,,0,"V (Johnson)",8.092,,0,4918,15,-15,0,6,0.63,0.07,-0.07,0,5,0.79,0.01,-0.01,0,4,0,2014-07-23,"La Silla Observatory"
"HD 181720",b,"HD 181720 b","Radial Velocity",0,1,956,14,-14,0,2,1.85,0.04,-0.04,0,2,0.26,0.06,-0.06,0,2,,,,,0,0.4,0.06,-0.06,0,2,Msini,,,,,0,,,,,0,0,0,0,19h22m52.98s,-32d55m08.6s,290.720764,4.0E-6,-32.919056,2.0E-6,2,60.31,0.24,-0.24,0,4,7.849,0.013,0,"V (Johnson)",7.675,,0,5736,37,-37,0,3,1.03,0.2,-0.2,0,2,1.5,0.07,-0.07,0,3,0,2018-09-06,"La Silla Observatory"
"HD 183263",b,"HD 183263 b","Radial Velocity",0,2,626.51599,1.1,-1.1,0,5,1.49,0.02,-0.02,0,5,0.36,0.01,-0.01,0,5,,,,,0,3.95,0.22,-0.22,0,5,Msini,,,,,0,,,,,0,0,0,0,19h28m24.57s,+08d21m29.0s,292.102386,3.0E-6,8.358054,2.0E-6,2,54.28,0.11,-0.11,0,3,7.861,0.012,0,"V (Johnson)",7.718,,0,5948,27,-27,0,5,1.31,0.07,-0.07,0,5,1.23,0.02,-0.02,0,4,0,2018-09-06,"W. M. Keck Observatory"
"HD 212301",b,"HD 212301 b","Radial Velocity",0,1,2.24571,0.00028,-0.00028,0,2,0.03,0,0,0,2,0,,,0,2,,,,,0,0.51,0.04,-0.04,0,2,Msini,,,,,0,,,,,0,0,0,0,22h27m30.92s,-77d43m04.5s,336.878845,2.0E-6,-77.717926,2.0E-6,2,54.32,0.09,-0.09,0,2,7.764,0.011,0,"V (Johnson)",7.635,,0,6239,24,-24,0,5,1.55,0.16,-0.16,0,4,1.16,0.02,-0.02,0,3,0,2018-09-06,"La Silla Observatory"
"HD 213240",b,"HD 213240 b","Radial Velocity",0,1,882.70001,7.6,-7.6,0,2,1.89,0.03,-0.03,0,2,0.42,0.01,-0.01,0,2,,,,,0,5.58,0.31,-0.31,0,2,Msini,,,,,0,,,,,0,0,0,0,22h31m00.37s,-49d25m59.8s,337.751526,2.0E-6,-49.43327,1.0E-6,2,40.92,0.06,-0.06,0,2,6.814,0.01,0,"V (Johnson)",6.658,,0,5979,19,-19,0,8,1.57,0.12,-0.12,0,6,1.51,0.02,-0.02,0,3,0,2018-09-06,"La Silla Observatory"
"HD 215497",b,"HD 215497 b","Radial Velocity",0,2,3.93404,0.00066,-0.00066,0,2,0.05,0,0,0,2,0.16,0.09,-0.09,0,2,,,,,0,0.02,0.01,-0.01,0,2,Msini,,,,,0,,,,,0,0,0,0,22h46m36.75s,-56d35m58.3s,341.653137,2.0E-6,-56.599533,2.0E-6,2,40.59,0.05,-0.05,0,2,8.96,,0,"V (Johnson)",8.686,,0,5110,108,-108,0,3,0.67,0.33,-0.33,0,2,0.85,0.04,-0.04,0,2,0,2018-09-06,"La Silla Observatory"
